"Alamance County, NC",37001,"Alamance County, NC",37001
,,"Caswell County, NC",37033
,,"Chatham County, NC",37037
,,"Guilford County, NC",37081
,,"Orange County, NC",37135
,,"Randolph County, NC",37151
,,"Rockingham County, NC",37157
"Alexander County, NC",37003,"Alexander County, NC",37003
,,"Caldwell County, NC",37027
,,"Catawba County, NC",37035
,,"Iredell County, NC",37097
,,"Wilkes County, NC",37193
"Alleghany County, NC",37005,"Alleghany County, NC",37005
,,"Ashe County, NC",37009
,,"Surry County, NC",37171
,,"Wilkes County, NC",37193
,,"Grayson County, VA",51077
"Anson County, NC",37007,"Anson County, NC",37007
,,"Montgomery County, NC",37123
,,"Richmond County, NC",37153
,,"Stanly County, NC",37167
,,"Union County, NC",37179
,,"Chesterfield County, SC",45025
,,"Marlboro County, SC",45069
"Ashe County, NC",37009,"Alleghany County, NC",37005
,,"Ashe County, NC",37009
,,"Watauga County, NC",37189
,,"Wilkes County, NC",37193
,,"Johnson County, TN",47091
,,"Grayson County, VA",51077
"Avery County, NC",37011,"Avery County, NC",37011
,,"Burke County, NC",37023
,,"Caldwell County, NC",37027
,,"McDowell County, NC",37111
,,"Mitchell County, NC",37121
,,"Watauga County, NC",37189
,,"Carter County, TN",47019
,,"Johnson County, TN",47091
"Beaufort County, NC",37013,"Beaufort County, NC",37013
,,"Craven County, NC",37049
,,"Hyde County, NC",37095
,,"Martin County, NC",37117
,,"Pamlico County, NC",37137
,,"Pitt County, NC",37147
,,"Washington County, NC",37187
"Bertie County, NC",37015,"Bertie County, NC",37015
,,"Chowan County, NC",37041
,,"Halifax County, NC",37083
,,"Hertford County, NC",37091
,,"Martin County, NC",37117
,,"Northampton County, NC",37131
,,"Washington County, NC",37187
"Bladen County, NC",37017,"Bladen County, NC",37017
,,"Columbus County, NC",37047
,,"Cumberland County, NC",37051
,,"Pender County, NC",37141
,,"Robeson County, NC",37155
,,"Sampson County, NC",37163
"Brunswick County, NC",37019,"Brunswick County, NC",37019
,,"Columbus County, NC",37047
,,"New Hanover County, NC",37129
,,"Pender County, NC",37141
,,"Horry County, SC",45051
"Buncombe County, NC",37021,"Buncombe County, NC",37021
,,"Haywood County, NC",37087
,,"Henderson County, NC",37089
,,"McDowell County, NC",37111
,,"Madison County, NC",37115
,,"Rutherford County, NC",37161
,,"Yancey County, NC",37199
"Burke County, NC",37023,"Avery County, NC",37011
,,"Burke County, NC",37023
,,"Caldwell County, NC",37027
,,"Catawba County, NC",37035
,,"Cleveland County, NC",37045
,,"Lincoln County, NC",37109
,,"McDowell County, NC",37111
,,"Rutherford County, NC",37161
"Cabarrus County, NC",37025,"Cabarrus County, NC",37025
,,"Iredell County, NC",37097
,,"Mecklenburg County, NC",37119
,,"Rowan County, NC",37159
,,"Stanly County, NC",37167
,,"Union County, NC",37179
"Caldwell County, NC",37027,"Alexander County, NC",37003
,,"Avery County, NC",37011
,,"Burke County, NC",37023
,,"Caldwell County, NC",37027
,,"Catawba County, NC",37035
,,"Watauga County, NC",37189
,,"Wilkes County, NC",37193
"Camden County, NC",37029,"Camden County, NC",37029
,,"Currituck County, NC",37053
,,"Gates County, NC",37073
,,"Pasquotank County, NC",37139
,,"Tyrrell County, NC",37177
,,"Chesapeake city, VA",51550
,,"Suffolk city, VA",51800
"Carteret County, NC",37031,"Carteret County, NC",37031
,,"Craven County, NC",37049
,,"Hyde County, NC",37095
,,"Jones County, NC",37103
,,"Onslow County, NC",37133
,,"Pamlico County, NC",37137
"Caswell County, NC",37033,"Alamance County, NC",37001
,,"Caswell County, NC",37033
,,"Orange County, NC",37135
,,"Person County, NC",37145
,,"Rockingham County, NC",37157
,,"Halifax County, VA",51083
,,"Pittsylvania County, VA",51143
,,"Danville city, VA",51590
"Catawba County, NC",37035,"Alexander County, NC",37003
,,"Burke County, NC",37023
,,"Caldwell County, NC",37027
,,"Catawba County, NC",37035
,,"Iredell County, NC",37097
,,"Lincoln County, NC",37109
"Chatham County, NC",37037,"Alamance County, NC",37001
,,"Chatham County, NC",37037
,,"Durham County, NC",37063
,,"Harnett County, NC",37085
,,"Lee County, NC",37105
,,"Moore County, NC",37125
,,"Orange County, NC",37135
,,"Randolph County, NC",37151
,,"Wake County, NC",37183
"Cherokee County, NC",37039,"Fannin County, GA",13111
,,"Union County, GA",13291
,,"Cherokee County, NC",37039
,,"Clay County, NC",37043
,,"Graham County, NC",37075
,,"Macon County, NC",37113
,,"Monroe County, TN",47123
,,"Polk County, TN",47139
"Chowan County, NC",37041,"Bertie County, NC",37015
,,"Chowan County, NC",37041
,,"Gates County, NC",37073
,,"Hertford County, NC",37091
,,"Perquimans County, NC",37143
,,"Washington County, NC",37187
"Clay County, NC",37043,"Rabun County, GA",13241
,,"Towns County, GA",13281
,,"Union County, GA",13291
,,"Cherokee County, NC",37039
,,"Clay County, NC",37043
,,"Macon County, NC",37113
"Cleveland County, NC",37045,"Burke County, NC",37023
,,"Cleveland County, NC",37045
,,"Gaston County, NC",37071
,,"Lincoln County, NC",37109
,,"Rutherford County, NC",37161
,,"Cherokee County, SC",45021
,,"York County, SC",45091
"Columbus County, NC",37047,"Bladen County, NC",37017
,,"Brunswick County, NC",37019
,,"Columbus County, NC",37047
,,"Pender County, NC",37141
,,"Robeson County, NC",37155
,,"Dillon County, SC",45033
,,"Horry County, SC",45051
"Craven County, NC",37049,"Beaufort County, NC",37013
,,"Carteret County, NC",37031
,,"Craven County, NC",37049
,,"Jones County, NC",37103
,,"Lenoir County, NC",37107
,,"Pamlico County, NC",37137
,,"Pitt County, NC",37147
"Cumberland County, NC",37051,"Bladen County, NC",37017
,,"Cumberland County, NC",37051
,,"Harnett County, NC",37085
,,"Hoke County, NC",37093
,,"Moore County, NC",37125
,,"Robeson County, NC",37155
,,"Sampson County, NC",37163
